岿,老,积魂樊,剧前,阂樊
5岿,30老,182208,168600,13608
5岿,31老,9354,8600,754
5岿,31老,109776,106200,3576
5岿,31老,24792,24000,792
5岿,31老,168564,164400,4164
6岿,2老,204720,200400,4320
6岿,2老,174168,162000,12168
6岿,4老,7161,7000,161
6岿,4老,184046,180000,4046
6岿,4老,62970,60100,2870
6岿,4老,83550,80300,3250
6岿,5老,193338,182100,11238
6岿,6老,170862,161100,9762
6岿,7老,162918,158500,4418
6岿,9老,199356,189500,9856
6岿,10老,173340,158500,14840
6岿,11老,111510,110300,1210
6岿,11老,206592,198000,8592
6岿,12老,203508,202900,608
6岿,12老,202776,194800,7976
6岿,13老,120372,118800,1572
6岿,13老,133518,129200,4318
6岿,13老,54636,53000,1636
6岿,14老,160782,157000,3782
6岿,16老,156188,150000,6188
6岿,16老,196824,189900,6924
6岿,17老,118038,116600,1438
6岿,17老,191496,183600,7896
6岿,17老,191850,170100,21750
6岿,18老,200700,195400,5300
6岿,18老,195900,190700,5200
6岿,18老,200340,192000,8340
6岿,19老,4947,4900,47
6岿,19老,196856,193000,3856
6岿,19老,103581,100000,3581
6岿,19老,73506,72000,1506
6岿,19老,198540,192000,6540
6岿,23老,204456,199000,5456
6岿,23老,190518,186800,3718
6岿,23老,209556,204000,5556
6岿,24老,143310,139300,4010
6岿,24老,52158,50000,2158
6岿,24老,196206,189100,7106
6岿,24老,39756,38800,956
6岿,24老,145740,142400,3340
6岿,25老,172440,168800,3640
6岿,25老,35406,34900,506
6岿,25老,195852,187200,8652
6岿,25老,209364,205600,3764
6岿,26老,85464,83300,2164
6岿,26老,194352,190100,4252
6岿,26老,181374,178200,3174
6岿,26老,30270,30000,270
6岿,27老,89352,87800,1552
6岿,27老,108450,106300,2150
6岿,27老,210710,207500,3210
6岿,28老,171624,168700,2924
6岿,30老,192882,188900,3982
7岿,1老,68760,67800,960
7岿,2老,23550,22800,750
7岿,3老,190980,187900,3080
7岿,3老,162150,160500,1650
7岿,3老,190860,186000,4860
7岿,4老,220752,219000,1752
7岿,4老,218766,218100,666
7岿,5老,175482,174700,782
7岿,5老,165498,163200,2298
7岿,5老,12570,12000,570
7岿,7老,16614,16100,514
7岿,7老,199914,198800,1114
7岿,7老,218358,217900,458
7岿,8老,218052,217000,1052
7岿,8老,206904,205600,1304
7岿,9老,15750,15200,550
7岿,14老,191346,183600,7746
7岿,15老,60342,56400,3942
7岿,22老,85434,84000,1434
7岿,22老,145614,144000,1614
7岿,23老,161520,160400,1120
7岿,23老,209772,207600,2172
7岿,24老,213630,211600,2030
7岿,24老,211308,210600,708
7岿,25老,210558,209100,1458
7岿,25老,217968,215100,2868
7岿,26老,174552,173600,952
7岿,26老,172194,170700,1494
7岿,28老,110190,109300,890
7岿,28老,51540,51000,540
8岿,8老,56052,55600,452
8岿,8老,66528,66000,528
8岿,9老,169578,168900,678
8岿,9老,171354,170800,554
8岿,11老,201096,198100,2996
8岿,11老,204552,201200,3352
8岿,12老,208752,206700,2052
8岿,12老,211722,210600,1122
8岿,13老,208734,206200,2534
8岿,13老,208056,207200,856
8岿,18老,133830,132800,1030
8岿,18老,119076,116700,2376
8岿,20老,108134,105400,2734
8岿,20老,66414,66000,414
8岿,20老,177822,154000,23822
8岿,21老,200214,194600,5614
8岿,21老,144770,144000,770
8岿,21老,48588,48000,588
8岿,21老,41652,38000,3652
8岿,21老,154848,148300,6548
8岿,22老,203610,199400,4210
8岿,22老,199056,195700,3356
8岿,22老,203634,193700,9934
8岿,23老,166956,163400,3556
8岿,23老,133302,126000,7302
8岿,23老,162162,152500,9662
8岿,23老,156312,150000,6312
8岿,25老,53844,52800,1044
8岿,25老,140364,138000,2364
8岿,25老,26316,19900,6416
8岿,25老,56784,50900,5884
8岿,25老,77534,76400,1134
8岿,25老,120492,117100,3392
8岿,26老,197460,192000,5460
8岿,26老,190362,183200,7162
8岿,27老,197382,195000,2382
8岿,27老,200364,194500,5864
8岿,27老,197964,192800,5164
8岿,28老,212634,209700,2934
8岿,28老,216282,214200,2082
8岿,28老,203022,201000,2022
8岿,28老,35352,34400,952
8岿,28老,159552,156000,3552
8岿,29老,217566,217200,366
8岿,29老,217752,216000,1752
8岿,29老,6717,6600,117
8岿,29老,184986,181200,3786
8岿,29老,200364,195000,5364
8岿,30老,56184,55700,484
8岿,30老,120726,120000,726
8岿,30老,37650,36900,750
8岿,30老,138750,138000,750
8岿,30老,30170,27300,2870
8岿,30老,125130,120000,5130
9岿,1老,219462,217500,1962
9岿,1老,219558,218400,1158
9岿,1老,189620,184000,5620
9岿,2老,219792,218400,1392
9岿,2老,214014,213200,814
9岿,2老,187710,182000,5710
9岿,3老,96972,96200,772
9岿,3老,124926,124600,326
9岿,3老,78588,78100,488
9岿,3老,142236,140600,1636
